State,Leading Party,Leading Candidate,BJP Seats,Second Best Party Seats
Bihar,Bharatiya Janata Party,40,12.0,40
Madhya Pradesh,Bharatiya Janata Party,29,20.0,29
Karnataka,Bharatiya Janata Party,28,1.0,28
Gujarat,Bharatiya Janata Party,26,5.0,26
Rajasthan,Bharatiya Janata Party,25,,25
Odisha,Bharatiya Janata Party,21,,21
Telangana,Bharatiya Janata Party,17,,17
Jharkhand,Bharatiya Janata Party,14,17.0,14
Assam,Bharatiya Janata Party,14,9.0,14
Chattisgarh,Bharatiya Janata Party,11,1.0,11
