tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Alappuzha,15,K. C VENUGOPAL,Indian National Congress,14,A. M ARIFF,Communist Party of India  (Marxist),1,63513,Kerala
Alathur,9,K.RADHAKRISHNAN,Communist Party of India  (Marxist),1,RAMYA HARIDAS,Indian National Congress,14,20111,Kerala
Attingal,19,ADV ADOOR PRAKASH,Indian National Congress,14,V JOY,Communist Party of India  (Marxist),1,684,Kerala
Chalakudy,11,BENNY BEHANAN,Indian National Congress,14,PROF C RAVEENDRANATH,Communist Party of India  (Marxist),1,63754,Kerala
Ernakulam,12,HIBI EDEN,Indian National Congress,14,K. J. SHINE TEACHER,Communist Party of India  (Marxist),1,250385,Kerala
Idukki,13,ADV. DEAN KURIAKOSE,Indian National Congress,14,ADV. JOICE GEORGE,Communist Party of India  (Marxist),1,133727,Kerala
Kannur,2,K. SUDHAKARAN,Indian National Congress,14,M.V. JAYARAJAN,Communist Party of India  (Marxist),1,108982,Kerala
Kasaragod,1,RAJMOHAN UNNITHAN,Indian National Congress,14,M.V BALAKRISHNAN MASTER,Communist Party of India  (Marxist),1,100649,Kerala
Kollam,18,N K PREMACHANDRAN,Revolutionary Socialist Party,1,M MUKESH,Communist Party of India  (Marxist),1,150302,Kerala
Kottayam,14,ADV K FRANCIS GEORGE,Kerala Congress,1,THOMAS CHAZHIKADAN,Kerala Congress  (M),0,87266,Kerala
Kozhikode,5,M. K. RAGHAVAN,Indian National Congress,14,ELAMARAM KAREEM,Communist Party of India  (Marxist),1,146176,Kerala
Malappuram,6,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,2,V. VASEEF,Communist Party of India  (Marxist),1,300118,Kerala
Mavelikkara,16,KODIKUNNIL SURESH,Indian National Congress,14,ADV ARUN KUMAR C A,Communist Party of India,0,10868,Kerala
Palakkad,8,V K SREEKANDAN,Indian National Congress,14,A VIJAYARAGHAVAN,Communist Party of India  (Marxist),1,75283,Kerala
Pathanamthitta,17,ANTO ANTONY,Indian National Congress,14,DR.T.M.THOMAS ISSAC,Communist Party of India  (Marxist),1,66119,Kerala
Ponnani,7,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,2,K.S HAMZA,Communist Party of India  (Marxist),1,235760,Kerala
Thiruvananthapuram,20,SHASHI THAROOR,Indian National Congress,14,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,1,16077,Kerala
Thrissur,10,SURESH GOPI,Bharatiya Janata Party,1,ADV V S SUNILKUMAR,Communist Party of India,0,74686,Kerala
Vadakara,3,SHAFI PARAMBIL,Indian National Congress,14,K K SHAILAJA TEACHER,Communist Party of India  (Marxist),1,114506,Kerala
Wayanad,4,RAHUL GANDHI,Indian National Congress,14,ANNIE RAJA,Communist Party of India,0,364422,Kerala
